City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Narsaq,GL,2022-03-01 02:12:58,60.9167,-46.05,4.75,93,70,6.15
68,Cockburn Town,TC,2022-03-01 02:07:42,21.4612,-71.1419,77.47,72,9,12.57
69,Codrington,AU,2022-03-01 02:05:24,-38.2667,141.9667,68.9,78,100,8.05
70,Kununurra,AU,2022-03-01 02:12:59,-15.7667,128.7333,84.43,74,100,10.51
71,Taoudenni,ML,2022-03-01 02:12:59,22.6783,-3.9836,79.29,25,27,25.08
72,Jacareacanga,BR,2022-03-01 02:12:59,-6.2222,-57.7528,74.01,97,100,1.1
73,Isangel,VU,2022-03-01 02:04:07,-19.55,169.2667,79.03,92,100,28.36
74,Provideniya,RU,2022-03-01 02:05:13,64.3833,-173.3,25.11,94,91,5.53
75,Waipawa,NZ,2022-03-01 02:13:00,-41.4122,175.5153,65.93,61,5,7.49
76,Geraldton,AU,2022-03-01 02:13:00,-28.7667,114.6,75.0,66,94,16.62
77,Bowen,AU,2022-03-01 02:13:00,-20.0167,148.2333,87.85,66,3,8.46
78,Anadyr,RU,2022-03-01 02:13:01,64.75,177.4833,20.82,92,100,15.93
79,Mascota,MX,2022-03-01 02:13:01,20.5167,-104.7833,58.71,77,0,1.86
80,Charkhi Dadri,IN,2022-03-01 02:13:01,28.6,76.2667,54.14,44,7,1.32
81,Tiksi,RU,2022-03-01 02:13:02,71.6872,128.8694,-19.08,100,100,2.77
82,Springbok,ZA,2022-03-01 02:13:02,-29.6643,17.8865,57.33,90,31,2.06
83,Killin,US,2022-03-01 02:13:02,33.6123,-91.7412,51.75,65,0,0.0
84,Boca Do Acre,BR,2022-03-01 02:13:03,-8.7522,-67.3978,73.89,97,100,2.84
85,Vila Velha,BR,2022-03-01 02:12:44,-20.3297,-40.2925,75.83,82,0,7.76
86,Ilyich,KZ,2022-03-01 02:13:03,40.8464,68.5067,46.36,80,51,3.51
87,Aklavik,CA,2022-03-01 02:13:03,68.2191,-135.0107,-6.77,92,7,13.27
88,Caravelas,BR,2022-03-01 02:13:04,-17.7125,-39.2481,75.74,84,0,4.79
89,San Joaquin,US,2022-03-01 02:13:04,37.9333,-121.3011,70.38,45,0,6.91
90,Purranque,CL,2022-03-01 02:13:04,-40.9167,-73.1667,55.06,83,70,2.73
91,Saint-Philippe,RE,2022-03-01 02:14:05,-21.3585,55.7679,78.33,80,1,6.67
92,Upington,ZA,2022-03-01 02:14:05,-28.4478,21.2561,73.92,53,0,13.71
93,Gopalur,IN,2022-03-01 02:14:06,16.6167,77.8,71.35,48,49,4.29
94,Cape Town,ZA,2022-03-01 02:09:53,-33.9258,18.4232,67.12,91,2,6.91
95,Klaksvik,FO,2022-03-01 02:14:06,62.2266,-6.589,39.31,73,41,41.99
96,Upernavik,GL,2022-03-01 02:14:06,72.7868,-56.1549,-6.84,75,13,6.91
97,Port Alfred,ZA,2022-03-01 02:14:07,-33.5906,26.891,71.62,91,96,9.91
98,Nordfjordeid,NO,2022-03-01 02:14:07,61.9063,5.9915,36.81,98,100,8.12
99,Luderitz,NA,2022-03-01 02:14:07,-26.6481,15.1594,64.87,80,0,7.9
100,Tasiilaq,GL,2022-03-01 02:14:08,65.6145,-37.6368,16.54,61,100,7.49
101,Atuona,PF,2022-03-01 02:14:08,-9.8,-139.0333,78.82,75,21,18.92
102,Touros,BR,2022-03-01 02:04:12,-5.1989,-35.4608,80.26,78,100,12.39
103,Mitsamiouli,KM,2022-03-01 02:14:09,-11.3847,43.2844,80.94,82,97,7.02
104,Jaicos,BR,2022-03-01 02:14:09,-7.3592,-41.1378,77.68,66,100,2.75
105,Castanos,MX,2022-03-01 02:14:09,26.7833,-101.4167,59.83,26,95,3.11
106,Maryborough,AU,2022-03-01 02:14:10,-25.5333,152.7,83.57,62,74,5.06
107,Victoria,HK,2022-03-01 02:09:55,22.2855,114.1577,68.56,85,100,5.14
108,Lucapa,AO,2022-03-01 02:14:10,-8.4192,20.7447,65.89,98,100,2.28
109,Richards Bay,ZA,2022-03-01 02:14:11,-28.783,32.0377,74.14,86,98,6.55
110,Ozinki,RU,2022-03-01 02:14:11,51.1786,49.6769,27.63,98,98,8.16
111,Sawakin,SD,2022-03-01 02:14:11,19.1059,37.3321,72.79,80,100,9.95
112,Lebu,CL,2022-03-01 02:14:11,-37.6167,-73.65,58.1,75,9,18.25
113,Cabo San Lucas,MX,2022-03-01 02:01:55,22.8909,-109.9124,68.5,60,100,3.74
114,Puerto Ayora,EC,2022-03-01 02:14:12,-0.7393,-90.3518,77.18,79,74,1.63
115,Castro,BR,2022-03-01 02:14:12,-24.7911,-50.0119,67.51,86,64,2.82
116,Ponta Do Sol,PT,2022-03-01 02:14:13,32.6667,-17.1,59.41,81,88,5.06
117,Guiratinga,BR,2022-03-01 02:14:13,-16.3494,-53.7583,75.18,81,85,0.69
118,Namatanai,PG,2022-03-01 02:14:13,-3.6667,152.4333,84.83,67,85,6.31
119,Kaitangata,NZ,2022-03-01 02:14:14,-46.2817,169.8464,60.01,83,92,12.28
120,Khatanga,RU,2022-03-01 02:14:14,71.9667,102.5,-9.44,99,100,3.83
121,Padang,ID,2022-03-01 02:07:00,-0.9492,100.3543,81.82,73,100,3.36
122,Bambanglipuro,ID,2022-03-01 02:14:15,-7.95,110.2833,82.65,71,90,8.01
123,Coos Bay,US,2022-03-01 02:12:18,43.3665,-124.2179,61.0,93,100,9.22
124,Gizo,SB,2022-03-01 02:14:15,-8.103,156.8419,83.19,73,74,0.2
125,San Quintin,MX,2022-03-01 02:14:15,30.4833,-115.95,61.25,49,6,4.56
126,Pontianak,ID,2022-03-01 02:14:16,-0.0333,109.3333,84.72,69,55,2.86
127,Yuanping,CN,2022-03-01 02:14:16,38.7153,112.7575,33.08,31,0,5.46
128,Shingu,JP,2022-03-01 02:13:48,33.7333,135.9833,63.05,53,7,12.15
129,Moerai,PF,2022-03-01 02:14:16,-22.4333,-151.3333,82.04,71,19,6.8
130,Lompoc,US,2022-03-01 02:11:35,34.6391,-120.4579,64.98,43,0,11.36
131,Cherskiy,RU,2022-03-01 02:07:42,68.75,161.3,1.67,93,100,8.97
132,Vila Franca Do Campo,PT,2022-03-01 02:14:17,37.7167,-25.4333,62.2,87,99,2.24
